ticker,strategy,window_id,selected_parameters,objective_value,in_sample_sharpe,in_sample_return
AAPL,RSI_Mean_Reversion,0,period=14;oversold=25;overbought=75,0.451925,0.451925,0.290203
AAPL,RSI_Mean_Reversion,1,period=7;oversold=20;overbought=80,0.588397,0.588397,0.309541
AAPL,RSI_Mean_Reversion,2,period=7;oversold=20;overbought=80,0.464967,0.464967,0.204433
AAPL,RSI_Mean_Reversion,3,period=7;oversold=20;overbought=80,0.647625,0.647625,0.312050
AAPL,RSI_Mean_Reversion,4,period=7;oversold=20;overbought=80,0.847248,0.847248,0.455242
MSFT,RSI_Mean_Reversion,0,period=14;oversold=30;overbought=70,0.602295,0.602295,0.444074
MSFT,RSI_Mean_Reversion,1,period=7;oversold=35;overbought=65,0.937849,0.937849,0.643918
MSFT,RSI_Mean_Reversion,2,period=14;oversold=30;overbought=70,0.741440,0.741440,0.439481
MSFT,RSI_Mean_Reversion,3,period=7;oversold=35;overbought=65,0.846460,0.846460,0.517534
MSFT,RSI_Mean_Reversion,4,period=7;oversold=35;overbought=65,0.664941,0.664941,0.378317
SPY,RSI_Mean_Reversion,0,period=14;oversold=25;overbought=75,0.451457,0.451457,0.236996
SPY,RSI_Mean_Reversion,1,period=14;oversold=25;overbought=75,0.696253,0.696253,0.282562
SPY,RSI_Mean_Reversion,2,period=21;oversold=35;overbought=65,0.405439,0.405439,0.137996
SPY,RSI_Mean_Reversion,3,period=21;oversold=35;overbought=65,0.532955,0.532955,0.195688
SPY,RSI_Mean_Reversion,4,period=7;oversold=20;overbought=80,0.584097,0.584097,0.203069
TSLA,RSI_Mean_Reversion,0,period=21;oversold=25;overbought=75,0.385032,0.385032,0.246024
TSLA,RSI_Mean_Reversion,1,period=14;oversold=30;overbought=70,0.504459,0.504459,0.444850
TSLA,RSI_Mean_Reversion,2,period=14;oversold=30;overbought=70,0.484350,0.484350,0.412645
TSLA,RSI_Mean_Reversion,3,period=21;oversold=30;overbought=70,0.418442,0.418442,0.297961
TSLA,RSI_Mean_Reversion,4,period=14;oversold=30;overbought=70,0.497036,0.497036,0.448525
BTC-USD,RSI_Mean_Reversion,0,period=21;oversold=20;overbought=80,1.150897,1.150897,0.876465
BTC-USD,RSI_Mean_Reversion,1,period=21;oversold=25;overbought=75,0.816416,0.816416,0.604931
BTC-USD,RSI_Mean_Reversion,2,period=7;oversold=25;overbought=75,0.328544,0.328544,0.174506
BTC-USD,RSI_Mean_Reversion,3,period=7;oversold=25;overbought=75,0.496963,0.496963,0.388497
BTC-USD,RSI_Mean_Reversion,4,period=21;oversold=25;overbought=75,0.506381,0.506381,0.385354
BTC-USD,RSI_Mean_Reversion,5,period=7;oversold=25;overbought=75,0.552561,0.552561,0.405222
BTC-USD,RSI_Mean_Reversion,6,period=7;oversold=25;overbought=75,0.934319,0.934319,0.884308
BTC-USD,RSI_Mean_Reversion,7,period=7;oversold=25;overbought=75,1.165241,1.165241,1.222471
BTC-USD,RSI_Mean_Reversion,8,period=21;oversold=25;overbought=75,1.449400,1.449400,0.731616
BTC-USD,RSI_Mean_Reversion,9,period=21;oversold=25;overbought=75,1.449400,1.449400,0.731616
BTC-USD,RSI_Mean_Reversion,10,period=14;oversold=35;overbought=65,1.123832,1.123832,0.594406
